Prompt_ID,Topic,Prompt_Type,Prompt_Text,Completeness,Relevance,Authority,Recency,Factual_Accuracy,Information_Depth,Average_Score,Notes
FS-01,Food Safety,Basic – Simple,What are the most common food safety mistakes in home kitchens?,4.00,5.00,3.00,4.00,4.00,4.00,4.00,"Content is relevant and well structured; however, sources lack government or peer-reviewed authority. Includes practical tips and structured summary but omits high-risk group considerations."
FS-02,Food Safety,Basic – Specific,"What are the top 5 most dangerous food safety mistakes people make when cooking at home, and how can these be avoided?",5.00,5.00,3.00,4.00,4.00,4.00,4.17,"Highly structured and complete answer, but sources lack academic or government research. No severity ranking or targeted guidance for at-risk groups."
FS-03,Food Safety,Basic – Background,"What are the top 5 most dangerous food safety mistakes people make when cooking at home, and how can these be avoided?",5.00,5.00,3.00,4.00,4.00,4.00,4.17,Well organized and detailed answer; sources are secondary and lack scientific backing. Explanation of risks present but not data-supported.
FS-04,Food Safety,Context – Personal,"As someone who frequently cooks for young children and elderly family members, what are the most important food safety practices I should follow to prevent foodborne illness in these vulnerable groups?",4.50,5.00,5.00,4.50,5.00,4.00,4.67,"Authoritative and tailored to context, with up-to-date government and academic sources. However, some principles lack elaboration."
FS-05,Food Safety,Context – Technical,"From a microbiological perspective, what are the most dangerous food handling errors in domestic kitchens that lead to bacterial contamination, and at what temperatures/conditions do these bacteria multiply most rapidly?",5.00,5.00,3.50,4.00,4.50,5.00,4.50,Rich microbiological detail and practical metrics; missing academic citations and lacks depth on other microbial conditions like humidity/pH.
FS-06,Food Safety,Comparative – Practice Gap,How do food safety guidelines differ between FDA recommendations and actual practices in professional kitchens? Are there any professional techniques that home cooks should adopt?,5.00,5.00,5.00,5.00,4.50,4.50,4.83,"Excellent authoritative comparison; backed by official guidance, though some assumptions about practicality could be overstated."
FS-07,Food Safety,Comparative – Geographic,"How do food safety standards and common practices differ between the United States, Japan, and European countries? Are there international best practices that should be universally adopted?",5.00,5.00,3.00,4.00,4.00,4.50,4.25,"Balanced global comparison with useful table, but lacks direct official data and underrepresents enforcement differences."
MH-01,Mental Health,Basic – Simple,What are effective strategies for managing anxiety?,5.00,5.00,5.00,4.00,5.00,4.00,4.67,"Well-rounded answer with diverse credible sources; lacks deep clinical or cultural nuance, but practical and evidence-supported."
MH-02,Mental Health,Basic – Specific,"What are the top 5 most dangerous food safety mistakes people make when cooking at home, and how can these be avoided?",5.00,5.00,3.00,4.00,4.00,4.00,4.17,"Clear and structured, but lacks authoritative or academic sources; accurate but shallow technical depth."
MH-03,Mental Health,Basic – Background,I'm researching for a community workshop on mental health. What are the most effective self-help strategies for managing anxiety that are supported by recent clinical research?,5.00,5.00,4.50,5.00,5.00,5.00,4.92,"Highly evidence-based and community-appropriate; includes rationale and implementation, could improve by citing more peer-reviewed studies."
MH-04,Mental Health,Context – Personal,"As someone working in a high-stress environment with frequent deadlines, what practical techniques could help manage work-related anxiety and prevent burnout?",5.00,5.00,5.00,4.50,5.00,4.00,4.75,Thorough and practical advice based on validated sources; could add more organizational/cultural system-level solutions.
MH-05,Mental Health,Context – Technical,"From a neurobiological perspective, what anxiety management techniques have been shown to affect the amygdala and prefrontal cortex activity, and how do these correlate with symptom reduction in clinical studies?",5.00,5.00,5.00,5.00,5.00,5.00,5.00,"Rich, neurobiologically accurate content with deep citations and brain-specific detail. Lacks accessibility context for general use."
MH-06,Mental Health,Comparative – Clinical Approaches,"How do cognitive-behavioral therapy (CBT) approaches to anxiety management compare with mindfulness-based interventions in terms of effectiveness, time to see benefits, and long-term outcomes?",5.00,5.00,5.00,5.00,5.00,5.00,5.00,Balanced and evidence-rich; excellent summary with mechanisms and trade-offs between CBT and MBIs. Could expand on cost/access issues.
MH-07,Mental Health,Comparative – Cultural,How do approaches to anxiety treatment differ between Western psychological practices and Eastern traditional methods? Are there cultural practices from around the world that show promise but lack formal research?,5.00,5.00,5.00,4.00,5.00,5.00,4.83,Outstanding cultural overview; accurately compares systems and calls for more inclusive research. Slightly less current on latest policy developments.
